Référence Interne,Nom du produit,Prix vente conseillé €HT,Prix vente conseillé €HT,Prix vente €TTC,Prix achat revendeur €HT,Prix achat revendeur €TTC,Eco contribution
KBE-320, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (32KG - Liseré Rouge),100,105,126,65,78,5
KBE-360, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (36KG - Liseré Gris),108.33,113.7465,136.4958,70.41,84.49,5.4165
KBE-400, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (40KG - Liseré Blanc),116.67,122.5035,147.0042,75.84,91.01,5.8335
POE-051, Poids Olympique - Entrainement 2.0 (5KG - Noir Liseret & Impression Blanc),29.17,30.6285,36.7542,23.34,28.01,1.4585
POE-101, Poids Olympique - Entrainement 2.0 (10KG - Noir Liseret & Impression Vert),40.83,42.8715,51.4458,32.66,39.19,2.0415
POE-151, Poids Olympique - Entrainement 2.0 (15KG - Noir Liseret & Impression Jaune),57.5,60.375,72.45,46,55.2,2.875
POE-201, Poids Olympique - Entrainement 2.0 (20KG - Noir Liseret & Impression Bleu),79.17,83.1285,99.7542,63.34,76.01,3.9585
POE-251, Poids Olympique - Entrainement 2.0 (25KG - Noir Liseret & Impression Rouge),87.5,91.875,110.25,70,84,4.375
POM-050, Poids Olympique avec poignées - Musculation (5 kg),20,21,25.2,12,14.4,1
POM-100, Poids Olympique avec poignées - Musculation (10 kg),32.5,34.125,40.95,19.5,23.4,1.625
POM-150, Poids Olympique avec poignées - Musculation (15 kg),49.17,51.6285,61.9542,29.5,35.4,2.4585
POM-200, Poids Olympique avec poignées - Musculation (20 kg),62.5,65.625,78.75,37.5,45,3.125
POW-050, Poids Olympique - WOD (5KG - Noir Mouchete Blanc),24.17,25.3785,30.4542,15.71,18.85,1.2085
POW-100, Poids Olympique - WOD (10KG - Noir Mouchete Vert),40.83,42.8715,51.4458,26.54,31.85,2.0415
POW-150, Poids Olympique - WOD (15KG - Noir Mouchete Jaune),54.17,56.8785,68.2542,35.21,42.25,2.7085
POW-200, Poids Olympique - WOD (20KG - Noir Mouchete Bleu),74.17,77.8785,93.4542,48.21,57.85,3.7085
POW-250, Poids Olympique - WOD (25KG - Noir Mouchete Rouge),82.5,86.625,103.95,53.63,64.36,4.125
SBW-025, SandBag - Sac lesté rond XS à L (XS - 25KG - 19CM),40,42,50.4,24,28.8,2
SBW-050, SandBag - Sac lesté rond XS à L (S - 45KG - 19CM),45,47.25,56.7,27,32.4,2.25
SBW-075, SandBag - Sac lesté rond XS à L (M - 70KG - 29CM),50,52.5,63,30,36,2.5
SBW-100, SandBag - Sac lesté rond XS à L (L - 105KG - 39CM),55,57.75,69.3,33,39.6,2.75
30 33.7 1040-G, Barre de Traction - Simple - Galva (1M04),50,52.5,63,40,48,2.5
30 33.7 1040-N," Barre de Traction - Simple (1M04, Noire Grain Moyen)",45,47.25,56.7,36,43.2,2.25
30 33.7 1040-SPEAL," Barre de Traction - Simple (1M04, Noire Speal)",45,47.25,56.7,36,43.2,2.25
30 33.7 1200-G, Barre de Traction - Simple - Galva (1M20),60,63,75.6,48,57.6,3
30 33.7 1200-N," Barre de Traction - Simple (1M20, Noire Grain Moyen)",55,57.75,69.3,44,52.8,2.75
30 33.7 1200-SPEAL," Barre de Traction - Simple (1M20, Noire Speal)",55,57.75,69.3,44,52.8,2.75
30 33.7 1500-G, Barre de Traction - Simple - Galva (1M50),60,63,75.6,48,57.6,3
30 33.7 1500-N," Barre de Traction - Simple (1M50, Noire Grain Moyen)",55,57.75,69.3,44,52.8,2.75
30 33.7 1500-SPEAL," Barre de Traction - Simple (1M50, Noire Speal)",55,57.75,69.3,44,52.8,2.75
"37 2,5 48.3 1040-N", Support Matériel Naria (1M04),65,68.25,81.9,52,62.4,3.25
"37 2,5 48.3 1200-N", Support Matériel Naria (1M20),75,78.75,94.5,60,72,3.75
"37 2,5 48.3 1800-N", Support Matériel Naria (1M80),85,89.25,107.1,68,81.6,4.25
6100-12100, Goujon d'ancrage (100mm),1,1.05,1.26,0.6,0.72,0.05
6100-12150, Goujon d'ancrage (150mm),1,1.05,1.26,0.6,0.72,0.05
90 33.7 1800-G, Barre de Traction - Gousset - Galva (1M80),60,63,75.6,48,57.6,3
90 33.7 1800-N," Barre de Traction - Gousset (1M80, Noire Grain Moyen)",55,57.75,69.3,44,52.8,2.75
90 33.7 1800-SPEAL," Barre de Traction - Gousset (1M80, Noire Speal)",55,57.75,69.3,44,52.8,2.75
90 33.7 2000-G, Barre de Traction - Gousset - Galva (2M00),90,94.5,113.4,72,86.4,4.5
90 33.7 2000-N," Barre de Traction - Gousset (2M00, Noire Grain Moyen)",85,89.25,107.1,68,81.6,4.25
90 33.7 2000-SPEAL," Barre de Traction - Gousset (2M00, Noire Speal)",85,89.25,107.1,68,81.6,4.25
AAB-001, Air Bike - Assault,915,960.75,1152.9,777.75,933.3,45.75
AAR-001, Air Runner Pro - Assault,3750,3937.5,4725,3187.5,3825,187.5
ABW-001, Ab Wheel - Roue de renforcement abdominal,12.5,13.125,15.75,7.5,9,0.625
ACM-060-G," Accroche Matériel (Entrainement - 6cm x 6cm, Galvanisation Brut)",33.25,34.9125,41.895,23.28,27.94,1.6625
ACM-060-N," Accroche Matériel (Entrainement - 6cm x 6cm, Noire Grain Fin)",33.25,34.9125,41.895,23.28,27.94,1.6625
ACM-080-G," Accroche Matériel (Competition - 8cm x 8cm, Galvanisation Brut)",33.25,34.9125,41.895,23.28,27.94,1.6625
ACM-080-N," Accroche Matériel (Competition - 8cm x 8cm, Noire Grain Fin)",33.25,34.9125,41.895,23.28,27.94,1.6625
ADP-001, Anneau de pilates - Pilates ring,12.5,13.125,15.75,6.25,7.5,0.625
ANC-001, Sangles Anneaux - Compétition,28.33,29.7465,35.6958,19.83,23.8,1.4165
ANM-001, Anneaux De Gym en métal pour extérieur,44,46.2,55.44,33,39.6,2.2
ASS-001, Accroche sangles de suspension,12.5,13.125,15.75,7.5,9,0.625
AXC-100-G/G, Aximus I (Galva - Brut Extérieure),715,750.75,900.9,572,686.4,35.75
AXC-100-N/N, Aximus I (Noire - Noire Grain Moyen),690,724.5,869.4,552,662.4,34.5
AXC-100-N/S, Aximus I (Noire - SPEAL),690,724.5,869.4,552,662.4,34.5
AXC-150-G/G, Aximus I.V (Galva - Brut Extérieure),1015,1065.75,1278.9,812,974.4,50.75
AXC-150-N/N, Aximus I.V (Noire - Noire Grain Moyen),975,1023.75,1228.5,780,936,48.75
AXC-150-N/S, Aximus I.V (Noire - SPEAL),975,1023.75,1228.5,780,936,48.75
AXC-200-G/G, Aximus II (Galva - Brut Extérieure),1505,1580.25,1896.3,1204,1444.8,75.25
AXC-200-N/N, Aximus II (Noire - Noire Grain Moyen),1450,1522.5,1827,1160,1392,72.5
AXC-200-N/S, Aximus II (Noire - SPEAL),1450,1522.5,1827,1160,1392,72.5
AXC-250-G/G, Aximus II.V (Galva - Brut Extérieure),1770,1858.5,2230.2,1416,1699.2,88.5
AXC-250-N/N, Aximus II.V (Noire - Noire Grain Moyen),1700,1785,2142,1360,1632,85
AXC-250-N/S, Aximus II.V (Noire - SPEAL),1700,1785,2142,1360,1632,85
AXC-300-G/G, Aximus III (Galva - Brut Extérieure),2260,2373,2847.6,1808,2169.6,113
AXC-300-N/N, Aximus III (Noire - Noire Grain Moyen),2175,2283.75,2740.5,1740,2088,108.75
AXC-300-N/S, Aximus III (Noire - SPEAL),2175,2283.75,2740.5,1740,2088,108.75
AXC-350-G/G, Aximus III.V (Galva - Brut Extérieure),2545,2672.25,3206.7,2036,2443.2,127.25
AXC-350-N/N, Aximus III.V (Noire - Noire Grain Moyen),2445,2567.25,3080.7,1956,2347.2,122.25
AXC-350-N/S, Aximus III.V (Noire - SPEAL),2445,2567.25,3080.7,1956,2347.2,122.25
AXC-400-G/G, Aximus IV (Galva - Brut Extérieure),3030,3181.5,3817.8,2424,2908.8,151.5
AXC-400-N/N, Aximus IV (Noire - Noire Grain Moyen),2915,3060.75,3672.9,2332,2798.4,145.75
AXC-400-N/S, Aximus IV (Noire - SPEAL),2915,3060.75,3672.9,2332,2798.4,145.75
AXC-450-G/G, Aximus IV.V (Galva - Brut Extérieure),3305,3470.25,4164.3,2644,3172.8,165.25
AXC-450-N/N, Aximus IV.V (Noire - Noire Grain Moyen),3175,3333.75,4000.5,2540,3048,158.75
AXC-450-N/S, Aximus IV.V (Noire - SPEAL),3175,3333.75,4000.5,2540,3048,158.75
AXC-500-G/G, Aximus V (Galva - Brut Extérieure),3795,3984.75,4781.7,3036,3643.2,189.75
AXC-500-N/N, Aximus V (Noire - Noire Grain Moyen),3650,3832.5,4599,2920,3504,182.5
AXC-500-N/S, Aximus V (Noire - SPEAL),3650,3832.5,4599,2920,3504,182.5
BAC-005, Haltère chargeable - Mini Barre 5 KG,57.5,60.375,72.45,40.25,48.3,2.875
BAC-015, Barre Olympique 15kg - Compétition,300,315,378,270,324,15
BAC-020, Barre Olympique 20kg - Compétition,320.83,336.8715,404.2458,288.75,346.5,16.0415
BAE-002, Marche du Fermier - Farmer Walk,185,194.25,233.1,148,177.6,9.25
BAE-003, Fat Barre Team - Axle Bar - StrongMan,215,225.75,270.9,172,206.4,10.75
BAE-004, Fat Barre - Axle Bar - StrongMan,120,126,151.2,90,108,6
BAH-003, Barre hexagonale - Trap Bar Deadlift,183.33,192.4965,230.9958,128.33,154,9.1665
BAH-100, Barre hexagonale Ouverte - Open trap bar,249,261.45,313.74,224.1,268.92,12.45
BAI-002, Barre Olympique 2.5kg 2.0 - Kids & Initiation,91.67,96.2535,115.5042,64.17,77,4.5835
BAI-005, Barre Olympique 5kg - Kids & Initiation,132.5,139.125,166.95,92.75,111.3,6.625
BAL-001, Ballon Pédagogique - Ballon Paille Pilates,2.5,2.625,3.15,1.5,1.8,0.125
BAM-001, Balle de Massage (D60),5,5.25,6.3,3,3.6,0.25
BAM-020, Barre Olympique 20kg - Musculation,132.5,139.125,166.95,92.75,111.3,6.625
BAM-120, Balle de Massage (D120),7.5,7.875,9.45,4.5,5.4,0.375
BAN-200, Banc - Home,91.67,96.2535,115.5042,55,66,4.5835
BAS-015, Barre Olympique 15KG Cerakote - Signature (Rouge By Beawolf),207.5,217.875,261.45,155.63,186.76,10.375
BAS-020, Barre Olympique 20KG Cerakote - Signature (Rouge By Beawolf),224.17,235.3785,282.4542,168.13,201.76,11.2085
BAS-215, Barre Olympique 15KG Cerakote - Signature (Bleu By Caco),207.5,217.875,261.45,155.63,186.76,10.375
BAS-220, Barre Olympique 20KG Cerakote - Signature (Bleu By Caco),224.17,235.3785,282.4542,168.13,201.76,11.2085
BAS-315, Barre Olympique 15KG Cerakote - Signature (Rose By Erin),207.5,217.875,261.45,155.63,186.76,10.375
