Référence Interne,Nom du produit, Prix vente conseillé €HT, Prix vente conseillé €HT, Prix vente €TTC, Prix achat revendeur €HT, Prix achat revendeur €TTC, Eco contribution
HTR-450, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (45KG),"  124,00 € ","  130,20 € ","  156,24 € ","  93,00 € ","  111,60 € ","  6,20 € "
HTR-500, Haltère Hexagonale Poignée Chromée Dumbbell - 1 à 50 kg (50KG),"  137,00 € ","  143,85 € ","  172,62 € ","  102,75 € ","  123,30 € ","  6,85 € "
KBE-040, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (4KG - Liseré Blanc),"  11,00 € ","  11,55 € ","  13,86 € ","  7,15 € ","  8,58 € ","  0,55 € "
KBE-060, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (6KG - Liseré Gris),"  22,50 € ","  23,63 € ","  28,35 € ","  14,63 € ","  17,56 € ","  1,13 € "
KBE-080, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (8KG - Liseré Rose),"  26,67 € ","  28,00 € ","  33,60 € ","  17,34 € ","  20,81 € ","  1,33 € "
KBE-100, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (10KG - Liseré Marron),"  33,33 € ","  35,00 € ","  42,00 € ","  21,66 € ","  25,99 € ","  1,67 € "
KBE-120, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (12KG - Liseré Bleu),"  40,83 € ","  42,87 € ","  51,45 € ","  26,54 € ","  31,85 € ","  2,04 € "
KBE-140, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (14KG - Liseré Bleu),"  49,17 € ","  51,63 € ","  61,95 € ","  31,96 € ","  38,35 € ","  2,46 € "
KBE-160, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (16KG - Liseré Jaune),"  52,50 € ","  55,13 € ","  66,15 € ","  34,13 € ","  40,96 € ","  2,63 € "
KBE-200, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (20KG - Liseré Violet),"  65,83 € ","  69,12 € ","  82,95 € ","  42,79 € ","  51,35 € ","  3,29 € "
KBE-240, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (24KG - Liseré Vert),"  74,17 € ","  77,88 € ","  93,45 € ","  48,21 € ","  57,85 € ","  3,71 € "
KBE-280, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (28KG - Liseré Orange),"  82,50 € ","  86,63 € ","  103,95 € ","  53,63 € ","  64,36 € ","  4,13 € "
KBE-320, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (32KG - Liseré Rouge),"  100,00 € ","  105,00 € ","  126,00 € ","  65,00 € ","  78,00 € ","  5,00 € "
KBE-360, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (36KG - Liseré Gris),"  108,33 € ","  113,75 € ","  136,50 € ","  70,41 € ","  84,49 € ","  5,42 € "
KBE-400, Kettlebell Entraînement Fonte Noir à liseré - 4 à 40 kg (40KG - Liseré Blanc),"  116,67 € ","  122,50 € ","  147,00 € ","  75,84 € ","  91,01 € ","  5,83 € "
POE-051, Poids Olympique - Entrainement 2.0 (5KG - Noir Liseret & Impression Blanc),"  29,17 € ","  30,63 € ","  36,75 € ","  23,34 € ","  28,01 € ","  1,46 € "
